index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
0, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.12 W
1, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 12.17 W
2, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 7.49 W
3, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.99 W
1787996128,0, 2, 0, 11.12;1, 2, 0, 12.17;2, 2, 0, 7.49;3, 2, 0, 11.99
1787996133,0, 2, 0, 10.80;1, 2, 0, 12.14;2, 2, 0, 8.09;3, 2, 0, 11.69
1787996138,0, 2, 0, 11.03;1, 2, 0, 12.19;2, 2, 0, 8.18;3, 2, 0, 11.24
1787996143,0, 2, 0, 10.89;1, 2, 0, 11.99;2, 2, 0, 8.10;3, 2, 0, 11.43
1787996148,0, 4, 0, 11.68;1, 4, 0, 12.78;2, 4, 0, 8.48;3, 4, 0, 12.84
1787996153,0, 4, 0, 11.38;1, 4, 0, 12.97;2, 4, 0, 8.08;3, 4, 0, 12.25
1787996158,0, 4, 0, 11.00;1, 4, 0, 12.85;2, 4, 0, 7.69;3, 4, 0, 12.23
1787996164,0, 4, 0, 10.99;1, 4, 0, 12.92;2, 4, 0, 8.06;3, 4, 0, 12.94
1787996169,0, 4, 0, 11.31;1, 4, 0, 13.98;2, 4, 0, 10.91;3, 4, 0, 13.37
1787996174,0, 510, 0, 58.43;1, 594, 0, 68.59;2, 594, 0, 61.29;3, 594, 0, 65.12
1787996179,0, 510, 0, 58.26;1, 594, 0, 68.58;2, 594, 0, 61.50;3, 594, 0, 65.64
1787996184,0, 510, 0, 58.09;1, 594, 0, 68.90;2, 594, 0, 60.87;3, 594, 0, 65.70
1787996189,0, 872, 1, 34.48;1, 872, 0, 62.10;2, 872, 0, 66.97;3, 872, 100, 65.37
1787996194,0, 872, 100, 100.67;1, 872, 0, 68.39;2, 872, 100, 94.99;3, 872, 100, 105.44
1787996199,0, 872, 100, 100.57;1, 872, 0, 68.69;2, 872, 100, 95.36;3, 872, 100, 104.70
1787996204,0, 872, 100, 100.26;1, 872, 0, 68.98;2, 872, 100, 95.55;3, 872, 100, 105.15
1787996209,0, 872, 100, 100.45;1, 872, 100, 112.07;2, 872, 0, 61.33;3, 872, 100, 105.41
1787996214,0, 872, 100, 100.76;1, 872, 100, 112.24;2, 872, 0, 61.25;3, 872, 100, 106.79
1787996220,0, 872, 100, 100.78;1, 872, 100, 112.71;2, 872, 0, 61.42;3, 872, 100, 107.07
1787996225,0, 872, 100, 100.93;1, 872, 100, 112.63;2, 872, 100, 96.06;3, 872, 0, 67.09
1787996230,0, 872, 100, 100.67;1, 872, 100, 113.08;2, 872, 100, 96.70;3, 872, 0, 66.75
1787996235,0, 872, 100, 100.45;1, 872, 100, 113.04;2, 872, 100, 96.66;3, 872, 0, 66.51
1787996240,0, 4766, 1, 59.02;1, 4766, 1, 70.63;2, 4766, 1, 61.94;3, 4766, 1, 66.77
1787996245,0, 5056, 1, 59.36;1, 5570, 1, 70.05;2, 5538, 1, 62.04;3, 5538, 1, 66.40
1787996250,0, 7372, 1, 58.90;1, 8144, 1, 70.00;2, 8144, 1, 61.95;3, 8144, 1, 66.45
1787996255,0, 10074, 1, 59.19;1, 10760, 1, 69.84;2, 10674, 1, 62.16;3, 10846, 1, 67.10
1787996260,0, 12390, 1, 58.98;1, 13258, 1, 69.58;2, 13226, 1, 62.09;3, 13258, 1, 67.12
1787996265,0, 16328, 0, 61.26;1, 15222, 4, 71.57;2, 15222, 2, 64.68;3, 15222, 0, 68.95
1787996270,0, 16680, 0, 59.60;1, 16174, 0, 70.22;2, 16174, 0, 62.30;3, 16174, 0, 67.62
1787996275,0, 28932, 1, 58.69;1, 28426, 1, 69.14;2, 28426, 1, 61.85;3, 28426, 1, 66.91
1787996280,0, 28932, 1, 59.13;1, 28426, 1, 68.53;2, 28426, 1, 61.87;3, 28426, 1, 66.85
1787996285,0, 28932, 1, 58.73;1, 28426, 1, 69.22;2, 28426, 1, 62.02;3, 28426, 1, 66.79
